TransactionDate,TransactionID,CustomerID,CustomerName,CustomerGender,CustomerAge,TransactionAmount,transactionType,TransactionLocation
2/8/2025,37cb7f30-05ea-475a-bcc8-7d49728b25f0,1,Bryan Murphy,Female,48,51.71,deposit,"300 Houston Street Branch, Downtown New York"
2/7/2025,77e328c7-b07f-480e-9ac8-30b1b971c6fa,2,Michelle Sweeney,Male,20,691.55,withdrawal,"750 Madison Avenue, Midtown New York"
2/8/2025,0fe65e2d-694f-487d-b16b-83941ac81c34,7,Joshua Frank,Male,31,1073.96,withdrawal,"Grand Central Station ATM, Midtown  New York"
2/9/2025,e9de8cdd-3a63-4f6e-87c0-29b14170a29e,5,Michael Holt,Female,35,1096.77,deposit,"360 Convent Avenue Branch, Uptown New York"
2/2/2025,c6571baf-91f7-466e-901a-a81d4a4d312e,4,Victoria Robles,Male,57,1160.56,deposit,"100 Wall Street Branch, Downtown New York"
2/6/2025,1339a42b-a33b-44b0-86e7-f75272539dcd,1,Bryan Murphy,Female,48,607.31,deposit,"360 Convent Avenue Branch, Uptown New York"
2/3/2025,3f8da20d-08f5-4b18-ad64-50882e6017c3,3,Julie Wilson,Male,17,225.89,deposit,"750 Madison Avenue, Midtown New York"
2/7/2025,d66b625c-b8d0-461f-aa25-496bde3924e0,3,Julie Wilson,Male,17,1778.69,withdrawal,"300 Houston Street Branch, Downtown New York"
2/3/2025,6f5a8d66-bd69-47c2-8d68-b528771d3c81,8,Stuart Roy,Male,32,2059.35,withdrawal,"100 Wall Street Branch, Downtown New York"
2/4/2025,6d3ceb9b-7e3f-4f5c-aebd-f383caf96424,2,Michelle Sweeney,Male,20,1708.71,deposit,"Grand Central Station ATM, Midtown  New York"
2/7/2025,b33c4b37-713a-48a5-b751-a554d015eb8d,10,Michelle Anderson,Female,58,476.97,withdrawal,"Grand Central Station ATM, Midtown  New York"
2/8/2025,5598178a-026a-42fb-8775-d8aa28a58476,3,Julie Wilson,Male,17,2353.45,deposit,"300 Houston Street Branch, Downtown New York"
2/8/2025,7913d211-bbe3-4143-8fbe-4acadb32c907,8,Stuart Roy,Male,32,150.51,deposit,"800 Water Street Branch, Downtown New York"
2/5/2025,168f8a29-a259-47c8-867b-8b3a1b53cc7d,9,Kenneth Terry,Female,50,1975.1,deposit,"Grand Central Station ATM, Midtown  New York"
2/1/2025,4a1436b1-f1de-4940-975d-641ed9194aed,4,Victoria Robles,Male,57,2348.5,withdrawal,"750 Madison Avenue, Midtown New York"
